_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time:confidence,after,before,bodytext,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time_gold,docid,eventid,verb
1696441199,false,finalized,5,4/22/2018 03:41:42,yes_its_anchorable,1.0,"outside the U.S. embassies in the Kenyan and Tanzanian capitals Friday , killing dozens of people , witnesses said .",Suspected bombs,"<p>NAIROBI , Kenya ( AP ) _ </p><p>Suspected bombs <span style='color:red;'><strong>exploded </strong></span>outside the U.S. embassies in the Kenyan and Tanzanian capitals Friday , killing dozens of people , witnesses said . </p>",,APW19980807.0261,0,exploded
1696441202,false,finalized,5,4/22/2018 06:55:24,yes_its_anchorable,1.0,"dozens of people , witnesses said .","Suspected bombs exploded outside the U.S. embassies in the Kenyan and Tanzanian capitals Friday ,","<p>NAIROBI , Kenya ( AP ) _ </p><p>Suspected bombs exploded outside the U.S. embassies in the Kenyan and Tanzanian capitals Friday , <span style='color:red;'><strong>killing </strong></span>dozens of people , witnesses said . </p>",,APW19980807.0261,1,killing
1696441205,false,finalized,5,4/22/2018 20:38:08,yes_its_anchorable,1.0,.,"Suspected bombs exploded outside the U.S. embassies in the Kenyan and Tanzanian capitals Friday , killing dozens of people , witnesses","<p>NAIROBI , Kenya ( AP ) _ </p><p>Suspected bombs exploded outside the U.S. embassies in the Kenyan and Tanzanian capitals Friday , killing dozens of people , witnesses <span style='color:red;'><strong>said </strong></span>. </p>",,APW19980807.0261,2,said
1696441206,false,finalized,5,4/22/2018 03:34:18,yes_its_anchorable,1.0,", a local TV said .",The American ambassador to Kenya was among hundreds,"<p>Suspected bombs exploded outside the U.S. embassies in the Kenyan and Tanzanian capitals Friday , killing dozens of people , witnesses said . </p><p>The American ambassador to Kenya was among hundreds <span style='color:red;'><strong>injured </strong></span>, a local TV said . </p>",,APW19980807.0261,3,injured
1696441207,false,finalized,5,4/22/2018 03:32:45,yes_its_anchorable,1.0,.,"The American ambassador to Kenya was among hundreds injured , a local TV","<p>Suspected bombs exploded outside the U.S. embassies in the Kenyan and Tanzanian capitals Friday , killing dozens of people , witnesses said . </p><p>The American ambassador to Kenya was among hundreds injured , a local TV <span style='color:red;'><strong>said </strong></span>. </p>",,APW19980807.0261,4,said
1696441208,false,finalized,5,4/21/2018 03:17:48,yes_its_anchorable,0.8087,"a U.S. Embassy official in Nairobi , who refused to identify himself .","`` It was definitely a bomb , ''","<p>The American ambassador to Kenya was among hundreds injured , a local TV said . </p><p>`` It was definitely a bomb , '' <span style='color:red;'><strong>said </strong></span>a U.S. Embassy official in Nairobi , who refused to identify himself . </p>",,APW19980807.0261,5,said
1696441209,false,finalized,5,4/20/2018 16:11:14,no_its_negation,0.625,to identify himself .,"`` It was definitely a bomb , '' said a U.S. Embassy official in Nairobi , who","<p>The American ambassador to Kenya was among hundreds injured , a local TV said . </p><p>`` It was definitely a bomb , '' said a U.S. Embassy official in Nairobi , who <span style='color:red;'><strong>refused </strong></span>to identify himself . </p>",,APW19980807.0261,6,refused
1696441210,false,finalized,5,4/20/2018 14:47:15,no_its_negation,0.6188,himself .,"`` It was definitely a bomb , '' said a U.S. Embassy official in Nairobi , who refused to","<p>The American ambassador to Kenya was among hundreds injured , a local TV said . </p><p>`` It was definitely a bomb , '' said a U.S. Embassy official in Nairobi , who refused to <span style='color:red;'><strong>identify </strong></span>himself . </p>",,APW19980807.0261,7,identify
1696441211,false,finalized,5,4/20/2018 10:53:12,yes_its_anchorable,1.0,"a huge crater behind the building , and a bomb went off at the embassy in Tanzania at the same time , '' he said .",`` You can,"<p>`` It was definitely a bomb , '' said a U.S. Embassy official in Nairobi , who refused to identify himself . </p><p>`` You can <span style='color:red;'><strong>see </strong></span>a huge crater behind the building , and a bomb went off at the embassy in Tanzania at the same time , '' he said . </p>",,APW19980807.0261,8,see
1696441212,false,finalized,5,4/20/2018 18:28:24,yes_its_anchorable,1.0,"off at the embassy in Tanzania at the same time , '' he said .","`` You can see a huge crater behind the building , and a bomb","<p>`` It was definitely a bomb , '' said a U.S. Embassy official in Nairobi , who refused to identify himself . </p><p>`` You can see a huge crater behind the building , and a bomb <span style='color:red;'><strong>went </strong></span>off at the embassy in Tanzania at the same time , '' he said . </p>",,APW19980807.0261,9,went
