_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time:confidence,after,before,bodytext,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time_gold,docid,eventid,verb
1585344795,false,finalized,6,2/13/2018 06:44:31,yes_its_anchorable,1.0,"the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death .",JERUSALEM ( AP ) _,"<p>JERUSALEM ( AP ) _ <span style='color:red;'><strong>Taking </strong></span>the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death . </p>",,APW19980227.0487,0,Taking
1585344796,false,finalized,5,2/13/2018 06:59:09,yes_its_anchorable,1.0,Friday that she regretted calling the prime minister a traitor and praying for his death .,"JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin","<p>JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin <span style='color:red;'><strong>said </strong></span>Friday that she regretted calling the prime minister a traitor and praying for his death . </p>",,APW19980227.0487,1,said
1585344797,false,finalized,5,2/13/2018 06:59:36,yes_its_anchorable,1.0,calling the prime minister a traitor and praying for his death .,"JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she","<p>JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she <span style='color:red;'><strong>regretted </strong></span>calling the prime minister a traitor and praying for his death . </p>",,APW19980227.0487,2,regretted
1585344798,false,finalized,5,2/13/2018 07:50:57,yes_its_anchorable,0.7958,the prime minister a traitor and praying for his death .,"JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted","<p>JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted <span style='color:red;'><strong>calling </strong></span>the prime minister a traitor and praying for his death . </p>",,APW19980227.0487,3,calling
1585344799,false,finalized,5,2/13/2018 07:04:44,yes_its_anchorable,0.5779,for his death .,"JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and","<p>JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and <span style='color:red;'><strong>praying </strong></span>for his death . </p>",,APW19980227.0487,4,praying
1585344800,false,finalized,5,2/13/2018 07:46:48,yes_its_anchorable,1.0,innocent to charges that she failed to report Yigal Amir 's plan to kill Rabin .,"Margalit Har-Shefi , 22 , has","<p>JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death . </p><p>Margalit Har-Shefi , 22 , has <span style='color:red;'><strong>pleaded </strong></span>innocent to charges that she failed to report Yigal Amir 's plan to kill Rabin . </p>",,APW19980227.0487,6,pleaded
1585344801,false,finalized,5,2/13/2018 07:02:42,yes_its_anchorable,0.594,to report Yigal Amir 's plan to kill Rabin .,"Margalit Har-Shefi , 22 , has pleaded innocent to charges that she","<p>JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death . </p><p>Margalit Har-Shefi , 22 , has pleaded innocent to charges that she <span style='color:red;'><strong>failed </strong></span>to report Yigal Amir 's plan to kill Rabin . </p>",,APW19980227.0487,8,failed
1585344802,false,finalized,5,2/13/2018 07:00:33,no_its_negation,0.61,Yigal Amir 's plan to kill Rabin .,"Margalit Har-Shefi , 22 , has pleaded innocent to charges that she failed to","<p>JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death . </p><p>Margalit Har-Shefi , 22 , has pleaded innocent to charges that she failed to <span style='color:red;'><strong>report </strong></span>Yigal Amir 's plan to kill Rabin . </p>",,APW19980227.0487,9,report
1585344803,false,finalized,5,2/13/2018 07:02:07,no_its_intentionwishopinion,0.5984,Rabin .,"Margalit Har-Shefi , 22 , has pleaded innocent to charges that she failed to report Yigal Amir 's plan to","<p>JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death . </p><p>Margalit Har-Shefi , 22 , has pleaded innocent to charges that she failed to report Yigal Amir 's plan to <span style='color:red;'><strong>kill </strong></span>Rabin . </p>",,APW19980227.0487,11,kill
1585344804,false,finalized,5,2/13/2018 06:59:13,yes_its_anchorable,1.0,the stand for more than four hours Friday in a Tel Aviv magistrate 's court .,She,"<p>Margalit Har-Shefi , 22 , has pleaded innocent to charges that she failed to report Yigal Amir 's plan to kill Rabin . </p><p>She <span style='color:red;'><strong>took </strong></span>the stand for more than four hours Friday in a Tel Aviv magistrate 's court . </p>",,APW19980227.0487,12,took
1585344805,false,finalized,5,2/13/2018 06:51:39,yes_its_anchorable,1.0,a life sentence for the November 1995 assassination of Rabin at a Tel Aviv peace rally .,"Amir , 27 , is","<p>She took the stand for more than four hours Friday in a Tel Aviv magistrate 's court . </p><p>Amir , 27 , is <span style='color:red;'><strong>serving </strong></span>a life sentence for the November 1995 assassination of Rabin at a Tel Aviv peace rally . </p>",,APW19980227.0487,13,serving
